Platform,MFCC_Feature,Correlation
Spotify,mfcc_1,0.030618537057563868
Spotify,mfcc_2,0.13250385657968808
Spotify,mfcc_3,-0.036573984343549706
Spotify,mfcc_4,-0.04341617842995915
Spotify,mfcc_5,0.056603117773461574
Spotify,mfcc_6,-0.03289556057023722
Spotify,mfcc_7,0.0023392794541564296
Spotify,mfcc_8,0.01218179765730248
Spotify,mfcc_9,-0.01312096151958488
Spotify,mfcc_10,0.04000662945066298
Spotify,mfcc_11,-0.0007665930543966724
Spotify,mfcc_12,-0.037951081660699354
Spotify,mfcc_13,-0.051996405231595245
YouTube,mfcc_1,0.028405375410804366
YouTube,mfcc_2,-0.024649417162010228
YouTube,mfcc_3,-0.041265127558890474
YouTube,mfcc_4,-0.010801167310275223
YouTube,mfcc_5,-0.0620086199456571
YouTube,mfcc_6,-0.009801497064057505
YouTube,mfcc_7,-0.11210602489364861
YouTube,mfcc_8,0.07222847911270995
YouTube,mfcc_9,-0.03663845014588432
YouTube,mfcc_10,-0.04099950771204139
YouTube,mfcc_11,0.10819904185699668
YouTube,mfcc_12,-0.07685165411827537
YouTube,mfcc_13,-0.07107057693598827
TikTok,mfcc_1,-0.05014425939848219
TikTok,mfcc_2,-0.038021799182259515
TikTok,mfcc_3,0.02313352739576581
TikTok,mfcc_4,-0.04252125060864918
TikTok,mfcc_5,-0.020506635739911044
TikTok,mfcc_6,-0.09266074514178706
TikTok,mfcc_7,-0.0507650826322564
TikTok,mfcc_8,-0.007820819920483927
TikTok,mfcc_9,0.009857218153988259
TikTok,mfcc_10,-0.16507247616356083
TikTok,mfcc_11,0.10067794813574532
TikTok,mfcc_12,-0.1059237434727981
TikTok,mfcc_13,-0.10046167927657552
Apple Music,mfcc_1,0.07439662452351946
Apple Music,mfcc_2,-0.09308630164097025
Apple Music,mfcc_3,-0.0438237473657441
Apple Music,mfcc_4,0.1465185559448076
Apple Music,mfcc_5,-0.09001116123086626
Apple Music,mfcc_6,0.11645094048149227
Apple Music,mfcc_7,-0.05871041315897471
Apple Music,mfcc_8,0.1632822563405013
Apple Music,mfcc_9,-0.11280363045932695
Apple Music,mfcc_10,0.051631573644314366
Apple Music,mfcc_11,0.10734216657694594
Apple Music,mfcc_12,-0.03204826496919623
Apple Music,mfcc_13,-0.05100968888713587
SiriusXM,mfcc_1,0.06848379444518359
SiriusXM,mfcc_2,-0.03678474542002493
SiriusXM,mfcc_3,-0.050254060505465464
SiriusXM,mfcc_4,0.053393373136868566
SiriusXM,mfcc_5,-0.022532593328949368
SiriusXM,mfcc_6,0.021585907023617908
SiriusXM,mfcc_7,-0.02988720670057033
SiriusXM,mfcc_8,0.06283719233567868
SiriusXM,mfcc_9,-0.0678761374520408
SiriusXM,mfcc_10,0.038905545059440466
SiriusXM,mfcc_11,0.088683658311334
SiriusXM,mfcc_12,-0.006001624717032066
SiriusXM,mfcc_13,-0.00890896637134214
Deezer,mfcc_1,0.050625065129865865
Deezer,mfcc_2,-0.007219570742104279
Deezer,mfcc_3,-0.09252722976217977
Deezer,mfcc_4,0.09144422593332405
Deezer,mfcc_5,-0.0540359328531709
Deezer,mfcc_6,0.028171992065869185
Deezer,mfcc_7,-0.028323857966686617
Deezer,mfcc_8,0.09426146645441108
Deezer,mfcc_9,-0.027232430867108953
Deezer,mfcc_10,0.024357501268330185
Deezer,mfcc_11,0.053795324069214945
Deezer,mfcc_12,-0.020357151539435927
Deezer,mfcc_13,-0.01379929297412469
Amazon,mfcc_1,-0.01166472656460459
Amazon,mfcc_2,-0.0935796712188539
Amazon,mfcc_3,0.001376277934860119
Amazon,mfcc_4,0.014255768422081082
Amazon,mfcc_5,-0.04570602250146127
Amazon,mfcc_6,0.02581499255644047
Amazon,mfcc_7,-0.019286901808343217
Amazon,mfcc_8,0.07251849927557277
Amazon,mfcc_9,-0.013411048951950829
Amazon,mfcc_10,0.04779565351151546
Amazon,mfcc_11,0.015627535546599944
Amazon,mfcc_12,0.010283196588066696
Amazon,mfcc_13,0.046414198415507715
Pandora,mfcc_1,0.05765284659853488
Pandora,mfcc_2,0.02858492452070872
Pandora,mfcc_3,-0.17948915407943283
Pandora,mfcc_4,0.04652138417368379
Pandora,mfcc_5,-0.017695872104020276
Pandora,mfcc_6,0.06483903564756376
Pandora,mfcc_7,-0.047471126527484225
Pandora,mfcc_8,0.1100509085336292
Pandora,mfcc_9,-0.034240665263831405
Pandora,mfcc_10,0.11608816290783518
Pandora,mfcc_11,0.08340468078925103
Pandora,mfcc_12,-0.05380474398205812
Pandora,mfcc_13,0.008381418486204842
Shazam,mfcc_1,0.05509859657174371
Shazam,mfcc_2,0.015345228646662464
Shazam,mfcc_3,-0.11226296943992718
Shazam,mfcc_4,0.041448775138552066
Shazam,mfcc_5,-0.07328184878063874
Shazam,mfcc_6,0.01234179541195078
Shazam,mfcc_7,-0.07217845774972169
Shazam,mfcc_8,0.07268214819109532
Shazam,mfcc_9,-0.15410436725669624
Shazam,mfcc_10,0.0018446397879640867
Shazam,mfcc_11,0.03455161684191382
Shazam,mfcc_12,-0.13519605614027772
Shazam,mfcc_13,-0.09135663897989289
